iter	Logloss
0	0.670005947
1	0.6480747604
2	0.6263660616
3	0.6074945257
4	0.5893377896
5	0.5723169891
6	0.558026712
7	0.5454966602
8	0.5328413884
9	0.5194427509
10	0.5070747506
11	0.4949822669
12	0.4860599174
13	0.4760440885
14	0.4676253054
15	0.459830697
16	0.4517585497
17	0.4448865719
18	0.4387536855
19	0.4325290411
20	0.4253156386
21	0.4192634119
22	0.414162892
23	0.4099589518
24	0.4036794857
25	0.4007847594
26	0.3970645814
27	0.3930201747
28	0.3862494255
29	0.3828599191
30	0.3789942042
31	0.3754911176
32	0.3721911702
33	0.3694029384
34	0.3654138282
35	0.3616696575
36	0.3593578674
37	0.3573021389
38	0.354469516
39	0.3512219024
40	0.3464800653
41	0.3450425187
42	0.3425766574
43	0.3403188611
44	0.3381450846
45	0.3357960511
46	0.333610267
47	0.3321402283
48	0.3291503571
49	0.3274254282
50	0.3257284935
51	0.3240906235
52	0.3203016039
53	0.3180215644
54	0.3159821645
55	0.31469436
56	0.3127819821
57	0.3115162716
58	0.3089909832
59	0.3065104005
60	0.3038715435
61	0.301977648
62	0.3009150025
63	0.2987763488
64	0.2976480024
65	0.2949612516
66	0.2932961333
67	0.2920996339
68	0.2910942412
69	0.2889963255
70	0.2866159363
71	0.2856712581
72	0.2831028357
73	0.2820109271
74	0.280580697
75	0.2790438742
76	0.2777826818
77	0.2765587616
78	0.2752915452
79	0.2745769863
80	0.273729531
81	0.2701147051
82	0.2691206363
83	0.2682500177
84	0.2665767484
85	0.2660075314
86	0.2652266336
87	0.2639280917
88	0.2623923121
89	0.2617517356
90	0.2606263199
91	0.2597957316
92	0.2582465032
93	0.2572956531
94	0.2563854164
95	0.2555927867
96	0.2550348312
97	0.2543880526
98	0.2534166878
99	0.2526902033
100	0.2513233512
101	0.2509051135
102	0.2495023406
103	0.249010281
104	0.2483715972
105	0.2474749046
106	0.2466481937
107	0.2461735741
108	0.2449616314
109	0.2442850358
110	0.2436823526
111	0.2426082022
112	0.2415745004
113	0.2404181187
114	0.2396855007
